vehicle_id,scenario,total_distance,average_passengers,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_out,utilization_rate,reported_time,idling_time,moving_time,pick_up,drop_off,revenue_trips,rebalance_trips
s1.182,1,408.3408065,3.050107902,0.117595467,0.054077758,0.068606973,0.18006301,0.579656792,0,0.882404533,86653,5846,80807,498,498,498,27
s1.183,1,368.1902955,2.878166009,0.184901808,0.02925117,0.069984858,0.154503533,0.561358631,0,0.815098192,87176,14172,73004,465,465,465,24
s1.184,1,381.9948545,2.898628654,0.152310332,0.042487536,0.08613801,0.192391392,0.526672731,0,0.847689668,86849,10855,75994,473,473,473,28
s1.185,1,423.8987345,3.111920439,0.079549886,0.046709032,0.0986258,0.232501319,0.542613962,0,0.920450114,87178,1968,85210,499,499,499,13
s1.186,1,411.746406,2.963083556,0.13523172,0.044109138,0.079221737,0.205218674,0.536218731,0,0.86476828,88145,6401,81744,460,460,460,18
s1.187,1,372.1045662,2.976091572,0.160528016,0.023816117,0.057844088,0.194659836,0.563151943,0,0.839471984,86664,12482,74182,464,464,464,23
s1.189,1,393.7495217,2.976859257,0.136980311,0.042921418,0.082586332,0.181282579,0.556229359,0,0.863019689,86903,8645,78258,502,502,502,12
s1.190,1,378.4103129,2.89473443,0.161071903,0.041542551,0.078708583,0.178933138,0.539743825,0,0.838928097,87284,12084,75200,476,476,476,15
s1.191,1,320.6256485,3.418232669,0.037081265,0.032367544,0.071475709,0.193388222,0.66568726,0,0.962918735,63644,208,63436,469,469,469,33
s1.192,1,407.9460142,3.120402195,0.099418611,0.032809423,0.074508616,0.234477857,0.558785492,0,0.900581389,85829,4797,81032,527,527,527,30
s1.193,1,378.2061157,2.657551468,0.172170002,0.064863618,0.130845972,0.197485727,0.434634681,0,0.827829998,86705,8683,78022,381,381,381,27
s1.194,1,322.8779206,2.546813551,0.272889308,0.02206711,0.06745475,0.160518387,0.477070445,0,0.727110692,86962,23064,63898,413,413,413,28
s1.195,1,394.3323315,2.99421645,0.124236652,0.037772006,0.101448773,0.192623377,0.543919192,0,0.875763348,86625,7561,79064,508,508,508,40
